Autor.id,TEMAS
NILTON CAPIXABA_RO,"saúde, atendimentos, mucuriba"
ONYX LORENZONI_RS,"autismo, esporte, educação"
OSMAR SERRAGLIO_PR,"política, agricultura"
OSMAR TERRA_RS,''
OTAVIO LEITE_RJ,"fenaporto, mucuri, pirapó"
PADRE JO�O_MG,"construção, meiofios, calçados"
PAES LANDIM_PI,"construção, meiofios, calçados"
PASTOR EURICO_PE,"esporte, arquitetura e autismo"
PAUDERNEY AVELINO_AM,"construção, meiofios, calçados"
PAULO ABI-ACKEL_MG,"polícia, religião"
PAULO AZI_BA,"fenaporto, mucuri, pirapó"
PAULO FEIJ�_RJ,educação
PAULO FOLETTO_ES,"construção, meiofios, calçados"
PAULO FREIRE_SP,"fenaporto, mucuri, pirapó"
PAULO MAGALH�ES_BA,"construção, meiofios, calçados"
PAULO MALUF_SP,"mananciais, máquinas, escavadeiras"
PAULO PEREIRA DA SILVA_SP,"construção, meiofios, calçados"
PAULO PIMENTA_RS,''
PAULO TEIXEIRA_SP,portos
PAUL�O_AL,''
PEDRO CHAVES_GO,religião
PEDRO CUNHA LIMA_PB,"fenaporto, mucuri, pirapó"
PEDRO FERNANDES_MA,"infraestrutura, elétrica, calçados"
PEDRO UCZAI_SC,"saúde, itapiranga, calçados"
PEPE VARGAS_RS,"educação, esporte"
POMPEO DE MATTOS_RS,portos
PR. MARCO FELICIANO_SP,"fenaporto, mucuri, pirapó"
PROFESSORA DORINHA SEABRA REZENDE_TO,"construção, meiofios, calçados"
PROFESSORA MARCIVANIA_AP,"energia, construção, infraestrutura, autismo"
RAIMUNDO GOMES DE MATOS_CE,"autismo, esporte, educação"
RAQUEL MUNIZ_MG,esporte
RAUL JUNGMANN_PE,"saúde, atendimentos, mucuriba"
REGINALDO LOPES_MG,"construção, meiofios, calçados"
REM�DIO MONAI_RR,"construção, meiofios, calçados"
RENATA ABREU_SP,"polícia, religião"
RENATO MOLLING_RS,esporte
RENZO BRAZ_MG,portos
RICARDO BARROS_PR,"construção, meiofios, calçados"
RICARDO IZAR_SP,"construção, meiofios, calçados"
RICARDO TRIPOLI_SP,''
ROBERTO BALESTRA_GO,"construção, meiofios, calçados"
ROBERTO BRITTO_BA,"fenaporto, mucuri, pirapó"
ROBERTO DE LUCENA_SP,"mananciais, máquinas, escavadeiras"
ROBERTO G�ES_AP,''
ROBERTO SALES_RJ,"autismo, esporte, educação"
ROCHA_AC,"autismo, esporte, educação"
RODRIGO DE CASTRO_MG,"autismo, esporte, educação"
RODRIGO GARCIA_SP,"fenaporto, mucuri, pirapó"
RODRIGO MAIA_RJ,agroturismo
RODRIGO PACHECO_MG,"mananciais, máquinas, escavadeiras"
ROG�RIO MARINHO_RN,"autismo, esporte, educação"
ROG�RIO PENINHA MENDON�A_SC,"infraestrutura, elétrica, calçados"
RONALDO BENEDET_SC,"mananciais, máquinas, escavadeiras"
RONALDO CARLETTO_BA,"construção, meiofios, calçados"
RONALDO FONSECA_DF,"autismo, esporte, jiujitsu, massagueira"
RONALDO MARTINS_CE,"polícia, religião"
RONALDO NOGUEIRA_RS,"polícia, religião"
ROSANGELA GOMES_RJ,"fenaporto, mucuri, pirapó"
RUBENS BUENO_PR,''
RUBENS OTONI_GO,"construção, meiofios, calçados"
RUBENS PEREIRA J�NIOR_MA,"fenaporto, mucuri, pirapó"
R�MULO GOUVEIA_PB,"saúde, itapiranga, calçados"
SANDRO ALEX_PR,"construção, meiofios, calçados"
SARAIVA FELIPE_MG,"política, agricultura"
SARNEY FILHO_MA,"construção, meiofios, calçados"
SERGIO VIDIGAL_ES,"infraestrutura, elétrica, calçados"
SH�RIDAN_RR,''
SIB� MACHADO_AC,"saúde, itapiranga, calçados"
SILAS BRASILEIRO_MG,educação
SILAS C�MARA_AM,"fenaporto, mucuri, pirapó"
SILVIO COSTA_PE,"polícia, religião"
SILVIO TORRES_SP,"infraestrutura, elétrica, calçados"
SIM�O SESSIM_RJ,"polícia, religião"
SORAYA SANTOS_RJ,"saúde, atendimentos, mucuriba"
STEFANO AGUIAR_MG,''
SUBTENENTE GONZAGA_MG,"saúde, atendimentos, mucuriba"
S�GUAS MORAES_MT,"construção, meiofios, calçados"
S�RGIO BRITO_BA,"política, agricultura"
S�RGIO MORAES_RS,"saúde, itapiranga, calçados"
TAKAYAMA_PR,"educação, esporte"
TEREZA CRISTINA_MS,"energia, construção, infraestrutura, autismo"
THIAGO PEIXOTO_GO,"mananciais, máquinas, escavadeiras"
TIA ERON_BA,"saúde, atendimentos, mucuriba"
TIRIRICA_SP,"autismo, esporte, educação"
TONINHO PINHEIRO_MG,"construção, meiofios, calçados"
TONINHO WANDSCHEER_PR,"saúde, atendimentos, mucuriba"
VALADARES FILHO_SE,"autismo, esporte, jiujitsu, massagueira"
VALDIR COLATTO_SC,agroturismo
VALMIR ASSUN��O_BA,"educação, esporte"
VALTENIR PEREIRA_MT,"construção, meiofios, calçados"
VANDER LOUBET_MS,"construção, meiofios, calçados"
VANDERLEI MACRIS_SP,religião
VENEZIANO VITAL DO R�GO_PB,"construção, meiofios, calçados"
VICENTE ARRUDA_CE,"saúde, atendimentos, mucuriba"
VICENTE CANDIDO_SP,esporte
VICENTINHO_SP,''
VINICIUS CARVALHO_SP,"política, agricultura"
VINICIUS GURGEL_AP,"mananciais, máquinas, escavadeiras"
WADSON RIBEIRO_MG,"polícia, religião"
WALDENOR PEREIRA_BA,"saúde, atendimentos, mucuriba"
WALDIR MARANH�O_MA,"energia, construção, infraestrutura, autismo"
WALNEY ROCHA_RJ,"saúde, itapiranga, calçados"
WASHINGTON REIS_RJ,"política, agricultura"
WELITON PRADO_MG,''
WELLINGTON ROBERTO_PB,"fenaporto, mucuri, pirapó"
WILSON FILHO_PB,"infraestrutura, elétrica, calçados"
WLADIMIR COSTA_PA,"infraestrutura, elétrica, calçados"
WOLNEY QUEIROZ_PE,"autismo, esporte, educação"
ZECA CAVALCANTI_PE,"educação, esporte"
ZECA DIRCEU_PR,"infraestrutura, elétrica, calçados"
Z� GERALDO_PA,"educação, esporte"
Z� SILVA_MG,"saúde, itapiranga, calçados"
�TILA LINS_AM,"saúde, itapiranga, calçados"
�TILA LIRA_PI,"polícia, religião"
