deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Antônio Jácome,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,5,5,0            ,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Aníbal Gomes,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Arlindo Chinaglia,5,3      ,3      ,3      ,3      ,3      ,5,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,3      ,3      ,3      ,5,5,5,0            ,5,5,3      ,0            ,0            ,0            ,0            
Arnaldo Faria de Sá,0            ,1            ,0            ,1            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,1            ,0            ,1            ,5,1            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            
Arnaldo Jordy,5,5,5,5,5,5,5,1            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,5,1            ,1            ,1            ,1            ,1            ,0            
Arnon Bezerra,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Arthur Lira,5,5,5,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,5,5,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Arthur Oliveira Maia,1            ,5,5,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            
Assis Carvalho,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,0            ,0            
Assis do Couto,3      ,3      ,3      ,5,3      ,3      ,3      ,5,3      ,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,3      ,3      ,3      ,1            ,3      ,3      ,0            ,5,3      ,3      ,5,5,5,5
